Date (group by day) ,Visitors,Sessions,Page views,Goal conversion rate,Events per session,% of returning visitors,Goal conversions
2024-08-01,3,3,4,0.0,4.666666666666667,0.0,0
2024-08-02,6,7,80,0.0,19.0,0.3333333333333333,0
2024-08-03,5,6,158,0.0,28.5,0.4,0
2024-08-04,4,8,106,0.0,13.625,0.5,0
2024-08-05,4,5,128,0.0,61.4,0.5,0
2024-08-06,6,6,25,0.0,10.5,0.16666666666666666,0
2024-08-07,3,3,8,0.0,8.666666666666666,0.6666666666666666,0
2024-08-08,3,3,4,0.0,2.6666666666666665,0.6666666666666666,0
2024-08-09,6,6,19,0.0,14.166666666666666,0.0,0
2024-08-10,7,7,13,0.0,7.714285714285714,0.0,0
2024-08-11,4,4,4,0.0,2.5,0.25,0
2024-08-12,1,1,1,0.0,1.0,1.0,0
2024-08-16,4,4,5,0.0,4.25,0.25,0
2024-08-19,7,7,13,0.0,8.714285714285714,0.0,0
2024-08-20,1,1,1,0.0,2.0,0.0,0
2024-08-21,2,2,5,0.0,14.5,0.0,0
2024-08-23,2,2,2,0.0,1.0,0.0,0
2024-08-25,1,1,2,0.0,13.0,0.0,0
2024-08-26,1,1,1,0.0,2.0,0.0,0
2024-08-27,1,1,1,0.0,5.0,1.0,0
2024-08-28,1,1,7,0.0,10.0,0.0,0
2024-08-30,2,2,2,0.0,2.0,0.0,0
2024-09-01,1,1,1,0.0,1.0,0.0,0
