Date (group by day) ,Visitors,Sessions,Bounce rate,Goal conversions,Goal conversion rate,Sum of goal revenue
2024-08-01,3,3,0.6666666666666666,0,0.0,
2024-08-02,6,7,0.14285714285714285,0,0.0,
2024-08-03,5,6,0.16666666666666666,0,0.0,
2024-08-04,4,8,0.0,0,0.0,
2024-08-05,4,5,0.0,0,0.0,
2024-08-06,6,6,0.6666666666666666,0,0.0,
2024-08-07,3,3,0.6666666666666666,0,0.0,
2024-08-08,3,3,0.6666666666666666,0,0.0,
2024-08-09,6,6,0.3333333333333333,0,0.0,
2024-08-10,7,7,0.5714285714285714,0,0.0,
2024-08-11,4,4,1.0,0,0.0,
2024-08-12,1,1,1.0,0,0.0,
2024-08-16,4,4,0.75,0,0.0,
2024-08-19,7,7,0.5714285714285714,0,0.0,
2024-08-20,1,1,1.0,0,0.0,
2024-08-21,2,2,0.5,0,0.0,
2024-08-23,2,2,1.0,0,0.0,
2024-08-25,1,1,0.0,0,0.0,
2024-08-26,1,1,1.0,0,0.0,
2024-08-27,1,1,1.0,0,0.0,
2024-08-28,1,1,0.0,0,0.0,
2024-08-30,2,2,1.0,0,0.0,
2024-09-01,1,1,1.0,0,0.0,
